AAME,20021230,1.601,1.61,1.4,1.56,12500
AAON,20021230,3.587,3.6403,3.5399,3.6403,19100
AAPL,20021230,0.2514,0.2527,0.2472,0.2513,5566200
ABCB,20021230,11.4583,11.5417,11.0417,11.25,22680
ABMD,20021230,3.55,3.66,3.36,3.55,99900
ACBA,20021230,5.483,5.503,5.483,5.503,200
ACET,20021230,4.3733,4.5393,4.3233,4.5393,59737
ACGL,20021230,3.3722,3.3956,3.3267,3.3433,77300
ACLS,20021230,23.12,23.2,22.16,22.44,546500
ACMR,20021230,13.2,13.33,12.97,13.24,320800
ACTG,20021230,1.85,2.05,1.81,1.96,103200
ADBE,20021230,12.65,12.72,12.1355,12.445,4917800
ADI,20021230,25,25.21,23.7,23.8,2741800
ADP,20021230,34.0212,34.2406,33.7225,34.0475,1684100
ADPT,20021230,5.58,5.73,5.52,5.52,832000
ADRE,20021230,13,13,12.75,12.75,4700
ADSK,20021230,7.065,7.13,6.87,7.065,1403400
ADTN,20021230,15.4688,16.1362,15.4592,15.8721,940000
AEHR,20021230,2.42,2.42,2.25,2.38,20100
AEIS,20021230,13.21,13.51,12.7,13.02,244500
AEZS,20021230,2070,2081.4,1980,2040,31200
AGEN,20021230,10.35,10.54,10.1,10.23,334200
AGIL,20021230,8.19,8.31,7.88,8.14,380600
AGYS,20021230,9.01,9.41,8.85,9.28,128000
AHPI,20021230,2.43,2.75,2.42,2.65,22900
AIRT,20021230,1.9,1.9,1.9,1.9,1100
AKAM,20021230,1.86,1.97,1.71,1.77,693300
ALCO,20021230,26.7,26.85,24.8,25.4,9800
ALGN,20021230,2.96,3.07,2.76,2.95,321000
ALKS,20021230,6.15,6.23,6.02,6.05,1108000
ALOT,20021230,2.313,2.327,2.175,2.175,13310
ALTR,20021230,12.3,12.44,11.99,12.09,4339500
ALVR,20021230,18.7,19.1,18.4,19,72900
AMAT,20021230,13.51,13.75,13.21,13.29,16834100
AMD,20021230,6.27,6.42,6.18,6.35,4083000
AMED,20021230,4.47,4.5,4.2,4.349,53000
AMGN,20021230,49.31,49.62,48.44,49.16,9994200
AMKR,20021230,4.94,4.95,4.6,4.81,593200
AMNB,20021230,26.3,26.32,26.04,26.04,4600
AMOT,20021230,1.76,1.8,1.71,1.77,15100
AMPH,20021230,4.209,4.491,4.209,4.351,2600
AMPL,20021230,48.8,49,46.2,48.8,18500
AMRN,20021230,4.05,4.051,3.98,4,105100
AMSC,20021230,32.8,33.6,30.1,30.4,167400
AMSWA,20021230,2.8,2.83,2.49,2.58,75300
AMWD,20021230,24.845,25.19,23.395,23.5,217200
