AAME,20071213,1.42,1.56,1.42,1.53,5100
AAON,20071213,5.6741,5.7689,5.5763,5.763,59400
AAPL,20071213,6.7925,6.8614,6.7079,6.8511,30925600
AAWW,20071213,53.71,54.21,52.81,54.04,136300
ABCB,20071213,16.75,17.85,16.75,17.7,44200
ABMD,20071213,14.43,15,14.2,14.96,234400
ACAD,20071213,12.22,12.29,11.62,11.99,349100
ACBA,20071213,10.17,10.24,10,10.13,4000
ACET,20071213,8.06,8.12,8,8,16100
ACGL,20071213,7.62,7.7744,7.6144,7.7611,611700
ACIW,20071213,8.04,8.0967,7.95,8.0567,220400
ACLS,20071213,17.68,18.36,17.52,18.2,468700
ACMR,20071213,13.84,14.16,13.15,13.22,665400
ACOR,20071213,18.78,19.25,17.9,19.17,175000
ACTG,20071213,9.35,9.59,8.98,9.49,229600
ADBE,20071213,43.5,44.09,43.48,43.9,4995500
ADES,20071213,4,4,3.75,3.89,25600
ADI,20071213,31.74,32.12,31.48,32.02,2221200
ADP,20071213,39.7981,40.3688,39.7541,40.2898,1454800
ADPT,20071213,3.17,3.3,3.16,3.28,743900
ADRE,20071213,55.62,55.73,54.5,55.41,443200
ADSK,20071213,49.4,50.47,49.21,50.33,2125700
ADTN,20071213,21.18,21.58,21.12,21.52,780000
AEHR,20071213,5.85,6.25,5.53,6.25,62400
AEIS,20071213,13.89,14.03,13.6,13.94,412600
AEY,20071213,6.05,6.15,6.05,6.12,43800
AEZS,20071213,1020,1032,978,978,25300
AGEN,20071213,2.08,2.15,2.01,2.11,106200
AGYS,20071213,13.97,14.7,13.97,14.57,308900
AHPI,20071213,7,7,7,7,800
AIMC,20071213,16.63,16.84,16.38,16.68,77400
AINV,20071213,53.67,53.82,52.5,53.61,980200
AIRT,20071213,9.36,9.44,9.12,9.35,11800
AKAM,20071213,34.49,35.6,34.3,35.54,4936700
ALCO,20071213,39.18,40.4,39.02,39.74,10700
ALGN,20071213,18.18,18.36,17.89,18,683600
ALGT,20071213,32.66,33.98,32.31,33.98,68100
ALKS,20071213,15.03,15.19,14.94,15.17,693700
ALLT,20071213,4.48,4.56,4.29,4.5,51200
ALNY,20071213,31.19,32.73,30.91,31.29,512200
ALOT,20071213,9.2,9.55,8.97,9.41,1700
ALTR,20071213,19.31,19.4,19.15,19.3,5596900
ALTU,20071213,10.07,10.41,10.07,10.27,131900
ALVR,20071213,89,93.3,89,92.8,503500
AMAT,20071213,18.33,18.48,17.92,18.07,15877600
AMD,20071213,8.91,9.01,8.42,8.84,45749400
AMED,20071213,44.08,44.97,44.01,44.95,353700
AMGN,20071213,49.65,49.93,49.1,49.42,8698200
AMKR,20071213,8.54,8.87,8.48,8.68,1425400
AMNB,20071213,19.75,19.75,19.51,19.51,500
AMOT,20071213,4.31,4.45,4.31,4.45,4100
AMPH,20071213,19.17,19.37,18.5,19.03,32200
AMPL,20071213,141.6,143.8,134.2,141.4,47100
AMRN,20071213,0.28,0.3,0.27,0.27,356900
AMSC,20071213,261,268.4,252.5,260.4,683400
AMSF,20071213,15.2,15.24,14.34,14.86,195200
AMSWA,20071213,8.84,8.98,8.73,8.82,76100
AMWD,20071213,19.09,19.7,18.91,19.57,102800
AMZN,20071213,91.05,93,90.63,92.4,6149100
ANAT,20071213,117.09,121.37,116.4,117.68,5000
ANDE,20071213,28.0333,28.4067,27.7533,28.3733,245700
ANGN,20071213,7.77,7.77,7.3,7.36,40500
ANGO,20071213,18.35,18.35,17.58,18.01,170600
ANIK,20071213,15.54,16.62,15.54,16.43,38300
ANSS,20071213,38.78,39.63,38.59,39.4,423200
APAC,20071213,1.32,1.36,1.1,1.13,255300
APEI,20071213,39.5,41,39.25,39.96,49200
APOG,20071213,20.39,20.39,19.78,20,567300
ARAY,20071213,14.75,15.19,14.73,14.83,542000
ARCC,20071213,14.79,15,14.4,14.72,717700
ARKR,20071213,35.41,35.47,35.26,35.47,700
ARLP,20071213,18.425,18.625,18.045,18.1,50600
ARNA,20071213,86.6,87.8,84.4,86.1,897900
AROW,20071213,21.87,21.87,21.62,21.8,5600
ARRY,20071213,11.63,11.79,11.31,11.55,377700
ARTE,20071213,2.5,2.54,2.27,2.54,144700
ARTL,20071213,13.1,13.1,12.9,12.91,6500
ARTNA,20071213,19.33,19.33,19.03,19.2,3800
ARTW,20071213,38.2,39.75,33.35,35.23,153600
ARWR,20071213,3.83,3.87,3.8,3.82,68500
ASML,20071213,34.78,34.93,34.21,34.72,1770000
ASRV,20071213,3.05,3.1,3.05,3.1,15200
ASTE,20071213,37.5,38.39,37.07,38.25,224300
ASUR,20071213,0.8867,0.8867,0.86,0.8667,76800
ASYS,20071213,12.51,12.75,10.82,11.37,1600800
ATEC,20071213,60,60,58.56,58.8,15500
ATHX,20071213,4.55,4.55,4.35,4.5,7200
ATLO,20071213,19.87,19.89,19.87,19.89,300
ATNI,20071213,34.43,34.71,33.56,34.28,78100
ATRC,20071213,11.3,11.51,11.25,11.33,39500
ATRI,20071213,114.71,114.71,109.66,109.86,3000
ATRO,20071213,37.9417,39.15,37.0417,37.375,93600
ATVI,20071213,13.295,13.37,13.06,13.25,5335700
