AAL,20180403,50.23,51.55,49.57,51.47,3863300
AAME,20180403,3.15,3.45,3.15,3.3,1800
AAOI,20180403,24.1,24.66,23.76,24,721900
AAON,20180403,37.3,37.4,35.6,36.35,330700
AAPL,20180403,41.91,42.1863,41.22,42.0975,30278000
AAWW,20180403,59.45,61.55,59.45,60.65,186400
AAXJ,20180403,76.87,77.08,76.32,77.03,365500
ABCB,20180403,52.4,53.25,52,53.25,191700
ABEO,20180403,14.2,14.5,13.85,14,937800
ABIO,20180403,9.522,9.522,8.73,8.874,285900
ABMD,20180403,280.8,284.44,274.23,278.07,506300
ABTX,20180403,39.3,39.95,38.8,39.4,44000
ABUS,20180403,5.1,5.15,4.95,5.05,135500
ACAD,20180403,21.06,21.52,20.67,21.2,1330100
ACBI,20180403,18.05,18.35,17.95,18.3,54000
ACER,20180403,18.5,19.23,18.26,18.56,6300
ACET,20180403,7.19,7.26,6.97,7.02,502600
ACGL,20180403,28.5633,28.7633,28.41,28.6667,427600
ACGLO,20180403,24.44,24.44,24.17,24.29,44000
ACHC,20180403,38.54,39.43,38.2,39.23,670400
ACHV,20180403,252,258,250,252,33400
ACIU,20180403,9.72,10.46,9.6,10.45,47100
ACIW,20180403,23.38,23.93,23.23,23.785,603600
ACLS,20180403,23.6,23.9,23.25,23.8,263100
ACMR,20180403,12.55,12.55,12.14,12.31,18500
ACNB,20180403,28.85,29,28.6,28.6,5300
ACOR,20180403,22.5,23.3,22.3,22.95,395100
ACRS,20180403,16.75,17.18,16.01,16.8,237200
ACRX,20180403,2.15,2.175,2.1,2.125,156000
ACST,20180403,9.36,9.52,8.72,8.8,386400
ACT,20180403,24.575,24.87,24.501,24.865,7100
ACTG,20180403,3.4,3.4,3.35,3.35,85000
ACWI,20180403,70.74,71.08,70.225,71.01,4289400
ACWX,20180403,49.35,49.42,49.05,49.36,374300
ADAP,20180403,11.1,11.3,10.42,10.84,698300
ADBE,20180403,214.78,217.855,212.28,215.93,3017800
ADES,20180403,11.5,11.66,11.21,11.45,183700
ADI,20180403,89.61,89.92,87.9,89.52,2721600
ADMA,20180403,4.16,4.73,4.16,4.69,85200
ADMP,20180403,3.4,3.45,3.35,3.4,220200
ADMS,20180403,23.35,24.74,23.23,24.6,516700
ADP,20180403,113.98,114.51,112.68,114.04,2544500
ADRE,20180403,43.71,44.05,43.52,43.64,19900
ADSK,20180403,124.18,126.44,122.21,124.84,2292300
ADTN,20180403,15.25,15.25,15.05,15.2,362600
ADUS,20180403,50,51.85,49.4,50.45,113100
ADVM,20180403,5.7,5.95,5.5,5.55,494200
ADXS,20180403,24,24.75,22.65,24.45,917400
AEHR,20180403,2.28,2.31,2.16,2.27,303500
AEIS,20180403,61.11,62.58,61.11,62.26,572400
AEMD,20180403,21,23.25,20.25,21.75,422600
AERI,20180403,51.6,52.75,51.15,52.5,454600
AEY,20180403,1.28,1.3,1.26,1.28,10900
AEZS,20180403,1.28,1.33,1.15,1.19,295400
AFMD,20180403,1.9,2.1,1.9,2.1,413800
AGEN,20180403,4.61,4.64,4.48,4.56,1571000
AGFS,20180403,7.26,7.38,7.08,7.28,78000
AGIO,20180403,74.49,76.295,72.14,73.94,524200
AGLE,20180403,9.62,9.71,9.11,9.58,79900
AGNC,20180403,18.82,19,18.72,18.88,2411300
AGNCN,20180403,25.4,25.45,25.32,25.35,22900
AGRX,20180403,2.53,2.73,2.53,2.71,94300
AGTC,20180403,3.75,3.875,3.75,3.75,39900
AGYS,20180403,11.9,12.145,11.81,12.1,53500
AGZD,20180403,47.96,48,47.9,48,2400
AHPA,20180403,10,10,10,10,0
AHPAW,20180403,0.33,0.33,0.33,0.33,0
AHPI,20180403,2.5,2.5,2.32,2.43,15600
AIA,20180403,67.36,67.69,66.96,67.69,127800
AIHS,20180403,5.87,6,5.85,6,102300
AIMC,20180403,44.9,45.525,44.35,45.1,165600
AINV,20180403,15.87,15.96,15.75,15.84,806400
AIRG,20180403,7.59,7.83,7.45,7.64,20300
AIRR,20180403,25.42,25.73,25.35,25.66,10300
AIRT,20180403,24.75,24.75,24.75,24.75,100
AKAM,20180403,69.5,70.27,69.31,70.12,1493900
AKBA,20180403,9.89,9.89,9.17,9.38,778800
AKTS,20180403,5.33,5.45,5.29,5.41,130000
AKTX,20180403,1.82,1.87,1.8,1.8,64300
ALBO,20180403,32.31,32.88,31.05,31.76,32100
ALCO,20180403,27.5,27.75,27.45,27.45,4600
ALDX,20180403,7.1,7.2,6.9,6.95,64900
ALGN,20180403,244.01,248.09,240.08,243.62,847500
ALGT,20180403,171.7,174.35,171.65,173.85,205000
ALIM,20180403,1.03,1.05,1.01,1.02,89800
ALJJ,20180403,2.16,2.31,2.13,2.14,37900
ALKS,20180403,45.02,45.5,41.15,43.68,3138200
ALLT,20180403,5.37,5.46,5.3,5.39,13600
ALNA,20180403,13.42,17.56,12.58,16.49,878900
ALNY,20180403,101.41,104.95,98.52,99.41,2497400
ALOT,20180403,15.75,16.15,15.55,15.95,43900
ALPN,20180403,7.97,8.13,7.62,7.83,20200
ALRM,20180403,37.61,38.93,37.61,38.79,410900
ALRN,20180403,7.8,7.8,6.22,6.51,49200
ALT,20180403,1.18,1.18,1.07,1.07,252000
ALTR,20180403,30.31,30.38,29.35,30.28,225700
ALTY,20180403,14.58,14.58,14.45,14.54,11200
AMAT,20180403,53.52,54.44,53.01,53.98,10802200
AMBA,20180403,47.09,47.745,46.39,47,650500
AMCX,20180403,51.01,52.16,50.62,51.47,634800
AMD,20180403,9.63,9.77,9.3,9.55,54891500
AMED,20180403,60.61,63.45,60.58,63,270000
AMEH,20180403,18,18.5,16.38,17.68,37200
AMGN,20180403,166.97,169.22,165.08,168.22,3373900
AMKR,20180403,9.76,9.81,9.58,9.76,724200
AMNB,20180403,37.2,37.7,36.75,37.35,13100
AMOT,20180403,37.6,38.99,36.6,38.14,84500
AMPH,20180403,18.34,18.73,18.28,18.64,165300
AMRK,20180403,12.25,12.42,12.15,12.42,8200
AMRN,20180403,2.96,2.98,2.82,2.93,1918000
AMRS,20180403,6.64,6.84,6.52,6.8,506100
AMSC,20180403,5.61,5.91,5.55,5.8,98400
AMSF,20180403,54.75,55.5,54.5,55.4,86200
AMSWA,20180403,12.93,13.04,12.61,12.82,44500
AMTX,20180403,1.6,1.68,1.48,1.66,287500
AMWD,20180403,93.2,96,92.8,94.7,209200
AMZN,20180403,1391.38,1414,1355.33,1392.05,10231200
ANAB,20180403,95.08,95.99,88.63,90.04,626400
ANAT,20180403,115.46,117.24,114.57,117,112000
ANDE,20180403,32.4,32.7,32,32.1,182800
ANGI,20180403,13.38,13.43,13.22,13.39,687400
ANGO,20180403,18.12,19.25,18,18.39,681700
