AAL,20160706,27.76,28.4,27.12,28.35,18757500
AAME,20160706,3.8,4.09,3.8,4.09,1200
AAOI,20160706,10.44,11.01,10.34,10.77,294700
AAON,20160706,26.96,27.09,26.5,27.06,92400
AAPL,20160706,23.65,23.915,23.5925,23.8825,30949000
AAWW,20160706,39.43,40.1,39.13,39.7,261600
AAXJ,20160706,53.65,54.23,53.42,54.23,660300
ABCB,20160706,28.95,29.28,28.9,29.12,114300
ABEO,20160706,2.42,2.44,2.32,2.34,23900
ABIO,20160706,54.72,55.26,54,55.08,15800
ABMD,20160706,109.46,111.55,109.46,111.44,809400
ABTX,20160706,23.29,24.15,23.22,23.91,15700
ABUS,20160706,3.78,3.91,3.72,3.85,173600
ACAD,20160706,32.32,33.64,32.14,33.61,1408200
ACBI,20160706,14.43,14.62,14.2,14.62,171200
ACET,20160706,22.45,23.36,22.32,23.12,363200
ACGL,20160706,23.5833,23.62,23.44,23.5833,269700
ACHC,20160706,52,53.35,51.09,52.89,958600
ACIW,20160706,18.89,19.07,18.72,18.96,355300
ACLS,20160706,10.02,10.08,9.82,9.92,118200
ACNB,20160706,25.16,25.16,24.95,25.05,5400
ACOR,20160706,25.29,26.03,25.27,25.78,388900
ACRS,20160706,18.94,19.63,18.9,19.34,34400
ACRX,20160706,2.78,2.89,2.69,2.85,314300
ACST,20160706,10.8,10.8,9.68,10.64,10200
ACTG,20160706,4.23,4.37,4.2,4.29,244300
ACWI,20160706,55.25,55.75,55,55.74,2042500
ACWX,20160706,37.98,38.33,37.75,38.33,778900
ADAP,20160706,8.91,9.06,8.5,8.7,154500
ADBE,20160706,94.53,95.48,94.06,95.18,1490500
ADI,20160706,55.15,55.6,54.55,55.46,1434000
ADMA,20160706,6.22,6.4,6.22,6.34,5800
ADMP,20160706,3.22,3.3,3.12,3.16,298600
ADMS,20160706,15.23,15.95,15.15,15.84,233800
ADP,20160706,93.43,93.63,92.68,93.42,2299400
ADRE,20160706,30.7,30.81,30.55,30.81,13500
ADSK,20160706,52.52,53.09,51.89,52.96,1115300
ADTN,20160706,18.28,18.63,18.15,18.61,350800
ADUS,20160706,18,18.91,17.91,18.89,47300
ADVM,20160706,3.15,3.25,3.06,3.12,156100
ADXS,20160706,127.05,133.65,124.5,130.2,1578800
AEHR,20160706,1.66,1.66,1.6,1.6,400
AEIS,20160706,37.04,37.52,36.7,37.33,149500
AEMD,20160706,92.85,94.5,90.15,93.75,18000
AERI,20160706,17.18,17.67,17.18,17.39,566500
AEY,20160706,1.8,1.8,1.78,1.78,3500
AEZS,20160706,3.38,3.49,3.3,3.35,259800
AFMD,20160706,2.64,2.79,2.61,2.71,114500
AGEN,20160706,4.27,4.5,4.25,4.46,980600
AGFS,20160706,5.4,5.64,5.25,5.43,141800
AGIO,20160706,40.93,43.14,40.15,43.03,551700
AGLE,20160706,4.59,4.69,4.25,4.56,8700
AGNC,20160706,19.62,19.84,19.48,19.82,4102100
AGNCP,20160706,26.18,26.28,26.02,26.28,3600
AGRX,20160706,7.38,7.57,6.99,7.25,89500
AGTC,20160706,14.54,15.58,14.44,15.41,72100
AGYS,20160706,10.22,10.54,10.07,10.39,25900
AGZD,20160706,47.87,47.87,47.84,47.84,900
AHPI,20160706,0.56,0.6,0.55,0.55,9400
AIA,20160706,43.67,44.01,43.43,44.01,39800
AIMC,20160706,26.66,27.15,26.5,27.11,86600
AINV,20160706,16.92,16.92,16.62,16.74,1036500
AIQ,20160706,6.22,6.3,5.91,6.01,35100
AIRR,20160706,18.06,18.23,18.03,18.23,900
AIRT,20160706,19.8,21.61,19.8,20.31,14800
AKAM,20160706,54.18,55.03,53.72,54.96,1443400
AKBA,20160706,7.48,7.99,7.36,7.96,127900
AKTX,20160706,12.51,12.51,12,12.17,5100
ALCO,20160706,29.76,30.25,28.42,29.98,12900
ALDX,20160706,6.19,6.4,6.03,6.33,39200
ALGN,20160706,80.71,81.9,80.5,81.25,1005000
ALGT,20160706,143.02,145.96,137.84,145.49,312800
ALIM,20160706,1.28,1.33,1.24,1.25,234400
ALJJ,20160706,4.79,4.8,4.66,4.78,48200
ALKS,20160706,44.82,46.06,44.46,45.99,543800
ALLT,20160706,4.81,4.95,4.77,4.87,64700
ALNY,20160706,59.11,60.71,57.7,60.43,680200
ALOT,20160706,15.25,15.55,15.11,15.26,4400
ALRM,20160706,26.35,26.74,25.91,26.09,168600
ALTY,20160706,15.03,15.11,15.02,15.02,3400
AMAT,20160706,23.62,24.02,23.52,24,9625800
AMBA,20160706,49.01,51.34,48.78,51.03,692400
AMCX,20160706,57.89,58.48,57.61,58.09,444800
AMD,20160706,4.91,5.11,4.9,5.04,19392800
AMED,20160706,49.92,51.1,49.4,50.77,219900
AMGN,20160706,153.44,156.82,152.95,156.05,3833900
AMKR,20160706,5.58,5.65,5.51,5.6,503400
AMNB,20160706,25,25.32,25,25.28,7200
AMOT,20160706,21.09,21.65,21.09,21.39,25700
AMPH,20160706,16.35,16.73,16.24,16.7,186500
AMRK,20160706,16.54,16.89,16.51,16.85,26900
AMRN,20160706,2.14,2.2,2.13,2.14,1030800
AMRS,20160706,6.3,6.3,5.85,6,946800
AMSC,20160706,8.35,8.51,8.22,8.49,81200
AMSF,20160706,60.8,61.2,60.64,60.81,47100
AMSWA,20160706,10.44,10.56,10.33,10.45,51900
AMTX,20160706,2.24,2.24,2.11,2.17,4700
AMWD,20160706,67.34,69.55,67.03,69.45,280700
AMZN,20160706,725.71,737.77,722.58,737.61,3938200
ANAT,20160706,109.98,113.82,108.88,110.69,23900
ANDE,20160706,34.6,35.35,34.31,35.01,74900
ANGI,20160706,6.5,6.53,6.42,6.51,176000
ANGO,20160706,13.84,14.73,13.52,14.39,209400
ANIK,20160706,53.61,54,52.92,53.25,202000
ANIP,20160706,56.34,57.9,56.34,57.53,171300
ANSS,20160706,88.4,89.45,88.3,89.26,333700
ANY,20160706,0.89,0.91,0.81,0.86,305200
AOSL,20160706,13.46,13.73,13.08,13.44,74100
APDN,20160706,121.6,128.8,120.4,128.4,39400
APEI,20160706,26.51,27.7,26.18,27.57,110900
APOG,20160706,45.69,46.38,45.58,46.11,295800
APPF,20160706,14.37,14.45,14.14,14.27,9600
APPS,20160706,1.12,1.16,1.02,1.03,827500
APTO,20160706,2.51,2.52,2.45,2.47,9100
APWC,20160706,2.37,2.37,2.14,2.16,1700
AQMS,20160706,11.9,11.99,11.63,11.84,73300
ARAY,20160706,4.95,5.21,4.93,5.09,826900
ARCB,20160706,15.6,16.03,15.4,15.92,166000
ARCC,20160706,14.15,14.16,13.85,14.02,3876300
ARDX,20160706,8.46,8.9,8.44,8.88,41300
ARKR,20160706,24.25,24.25,23.68,23.75,2900
ARLP,20160706,15.8,18.28,15.72,18.13,685500
ARNA,20160706,16,16.2,15.6,16.1,959700
AROW,20160706,29.48,30.15,29.48,29.95,15400
ARRY,20160706,3.59,3.7,3.56,3.69,1677200
ARTNA,20160706,34.82,35,34.04,34.42,27100
ARTW,20160706,3.05,3.05,2.95,3.05,500
ARWR,20160706,5.36,5.62,5.34,5.48,325000
ASET,20160706,26.6,26.6,26.6,26.6,0
ASMB,20160706,6.03,6.18,5.85,6.09,36100
ASML,20160706,93.42,94.97,92.84,94.89,1257500
ASND,20160706,13.27,13.95,13.06,13.28,45800
ASPS,20160706,24.55,25.89,24.53,25.55,568700
ASRV,20160706,3.03,3.08,3.02,3.04,4500
ASTC,20160706,1.76,1.81,1.71,1.75,17500
ASTE,20160706,53.99,55.65,51.73,55.05,164000
ASUR,20160706,4.67,4.71,4.67,4.71,300
ASYS,20160706,5.57,5.64,5.45,5.49,18000
ATAI,20160706,4.53,4.55,4.1,4.4,9000
ATAX,20160706,5.5,5.55,5.5,5.53,52100
ATEC,20160706,4.8,4.8,4.44,4.68,119400
ATHX,20160706,2.26,2.33,2.25,2.27,384600
ATLC,20160706,2.83,2.87,2.75,2.85,8800
ATLO,20160706,26.14,26.99,26,26.38,7500
ATNI,20160706,80.48,81.06,79.38,80.02,76200
ATOS,20160706,50.4,54,50.4,52.2,91300
ATRA,20160706,22.33,23.28,22.27,22.93,177500
ATRC,20160706,14.39,15.02,14.39,14.95,408100
ATRI,20160706,425,435.78,420.51,434.79,18300
ATRO,20160706,31.92,32.7,31.64,32.39,135900
ATRS,20160706,1.02,1.04,0.99,0.99,552200
ATSG,20160706,12.87,12.96,12.73,12.81,224200
ATVI,20160706,39.78,40.59,39.53,40.51,9232600
AUBN,20160706,28.16,28.75,28.16,28.64,4600
AUDC,20160706,4.12,4.14,4.06,4.09,102600
AUPH,20160706,3,3.29,2.95,3.27,123400
AVAV,20160706,26.91,27.11,26.58,27.06,215400
AVEO,20160706,9.4,9.4,9.1,9.4,56100
AVGO,20160706,149.36,151.27,147.16,150.63,2060300
AVGR,20160706,4464,4740,4464,4588,68700
AVHI,20160706,11.9,12.09,11.8,12,45100
AVID,20160706,5.67,5.87,5.6,5.86,194600
AVIR,20160706,1.43,1.46,1.39,1.4,26300
AVNW,20160706,7.85,8.1,7.79,7.79,2800
AVXL,20160706,6.26,6.4,6.03,6.3,643500
AWRE,20160706,4.47,4.49,4.47,4.47,38300
AXDX,20160706,16.27,16.7,16.06,16.54,267800
AXGN,20160706,7.18,7.18,6.93,7.02,134500
AXSM,20160706,7.22,7.49,6.85,7.26,38000
AXTI,20160706,3.28,3.34,3.21,3.29,80200
AZPN,20160706,39.42,39.83,39.34,39.67,598600
BANF,20160706,58.67,59.22,58.54,59.2,22600
BANFP,20160706,26.94,26.94,26.94,26.94,0
BANR,20160706,39.9,40.87,39.58,40.48,209800
BANX,20160706,18.46,18.6,18.31,18.38,10800
BATRA,20160706,15.26,15.26,14.97,15.01,82500
BATRK,20160706,14.5,15.03,14.45,14.52,376600
BBBY,20160706,42.23,43.73,42.02,43.55,4205400
BBGI,20160706,4.35,4.35,4.27,4.35,700
BBH,20160706,103.09,106.07,103.09,105.89,85300
BBSI,20160706,39.06,40.02,38.77,39.94,78100
BCBP,20160706,10.2,10.42,10.2,10.21,1800
BCLI,20160706,2.48,2.5,2.47,2.49,18200
BCOR,20160706,11.08,11.43,10.9,11.3,741000
BCOV,20160706,8.72,9.28,8.7,9.18,607800
BCPC,20160706,59.8,60.11,59.09,59.54,52100
BCRX,20160706,2.9,3.03,2.83,2.99,290400
BDSI,20160706,2.33,2.81,2.24,2.44,1876500
BEAT,20160706,16,16.7,15.92,16.53,245500
BECN,20160706,45.55,47.03,45.55,46.62,1495600
BELFA,20160706,15.75,15.75,15.75,15.75,0
BELFB,20160706,17.09,17.68,16.98,17.57,48200
BFIN,20160706,12.16,12.19,11.75,12.17,52600
BFIT,20160706,15.01,15.03,15.01,15.03,200
BGCP,20160706,8.24,8.35,8.18,8.29,1409800
BGFV,20160706,9.22,9.58,9.16,9.57,144000
BGNE,20160706,29.07,29.6,28.75,28.75,17100
BHACU,20160706,10.17,10.17,10.17,10.17,5200
BIB,20160706,39.08,41.65,39,41.48,642300
BICK,20160706,20.4,20.4,20.4,20.4,100
BIDU,20160706,160.98,161.87,157.88,161.56,2157200
BIIB,20160706,222.5773,228.3342,221.7207,227.9566,1750900
BIOC,20160706,18.6,19.8,18.6,18.6,88400
BIOL,20160706,5.15,5.45,5.15,5.25,10700
BIS,20160706,40.91,41.05,38.44,38.71,264300
BJRI,20160706,42.67,43.46,42.57,43.03,259500
BKCC,20160706,7.9,7.9,7.8,7.83,334200
BKEP,20160706,5.13,5.45,5.13,5.4,104200
BKEPP,20160706,7.69,8.32,7.6,8.1,276900
BKSC,20160706,16,16,15.81,15.96,5100
BLBD,20160706,11.81,11.88,11.69,11.84,39700
BLCM,20160706,136,144.3,134,140.7,269400
BLDP,20160706,1.24,1.25,1.23,1.24,262200
BLFS,20160706,1.63,1.63,1.63,1.63,0
BLIN,20160706,53.5,53.5,47,48,147800
BLKB,20160706,66.79,68.05,66.49,67.75,146700
BLMN,20160706,17.29,17.63,17.22,17.43,673300
BLPH,20160706,24.6,25.35,24.45,24.6,75100
BLRX,20160706,11.85,12.6,11.7,11.85,76500
BLUE,20160706,43.98,47.92,43.1,47.87,1076900
BMRC,20160706,23.79,24.34,23.79,24.34,2200
BMRN,20160706,80.34,81.13,77.98,80.81,1402500
BMTC,20160706,28.44,28.46,28.13,28.34,73100
BNDX,20160706,55.94,56.04,55.94,56.04,583900
BNFT,20160706,36.24,37.32,36.1,36.9,100700
BNSO,20160706,1.38,1.42,1.32,1.37,21100
BNTC,20160706,12,12,12,12,400
BOKF,20160706,58.4,59.46,56.72,59.41,369700
BOOM,20160706,10.72,10.75,10.47,10.62,29800
BOSC,20160706,3.17,3.2,3.02,3.09,69500
BOTJ,20160706,12.69,12.75,12.69,12.75,1300
BPMC,20160706,19.57,20.61,19.51,20.07,222000
BPOP,20160706,27.84,28.19,27.49,28.1,430200
BPOPM,20160706,21.68,22,21.68,22,600
BPOPN,20160706,22.65,22.94,22.63,22.83,26200
BPTH,20160706,376,388,370,376,157200
BRID,20160706,13.35,14.87,12.57,13.62,13600
BRKL,20160706,10.66,10.8,10.6,10.71,298600
BRKR,20160706,22.29,23.05,22.25,22.97,2550400
BRKS,20160706,10.98,11.11,10.82,11.05,185300
BSET,20160706,24.09,24.99,24,24.8,106100
BSQR,20160706,5.64,5.64,5.38,5.44,14600
BSRR,20160706,15.72,16,15.71,15.89,23800
BUSE,20160706,21.15,21.66,20.94,21.6,181600
BVXV,20160706,3.5,3.5,3.5,3.5,300
BWEN,20160706,4.31,4.31,4.11,4.14,32900
BWFG,20160706,22.39,23.44,22.15,22.92,24600
BYFC,20160706,1.87,1.87,1.87,1.87,0
BZUN,20160706,6.54,6.54,6.05,6.4,143100
CAAS,20160706,3.2,3.36,3.19,3.21,41500
CAC,20160706,41.62,42.17,41.62,42.02,62000
CACC,20160706,172.38,181.59,172.38,178.89,133800
CAKE,20160706,48.09,49.61,47.95,49.21,1003600
CALA,20160706,3.76,3.86,3.72,3.81,101200
CALM,20160706,44.53,45.65,44.06,45.23,546300
CAMP,20160706,13.8,13.93,13.6,13.65,475900
CAMT,20160706,2.08,2.3,2.08,2.18,70800
CAPR,20160706,47.1,47.9,40.3,41.8,34800
CAR,20160706,30.89,30.89,29.72,30.51,3277200
CARA,20160706,4.87,5.15,4.81,5.09,496900
CARV,20160706,3.55,3.65,3.48,3.48,2000
CARZ,20160706,29.16,29.16,28.85,29.14,1500
CASH,20160706,16.3867,16.65,16.3267,16.48,34900
CASI,20160706,1.09,1.1,1.02,1.03,32700
CASS,20160706,51.16,51.34,49.54,50.92,58600
CASY,20160706,131.12,133.29,130.4,133.01,1560100
CATH,20160706,24.95,25.01,24.95,25.01,300
CATY,20160706,26.54,27.02,26.4,26.93,454400
CBAN,20160706,9.45,9.54,8.8,8.8,11900
CBAY,20160706,1.64,1.68,1.57,1.61,54500
CBFV,20160706,21.25,21.25,21.25,21.25,1500
CBIO,20160706,22.65,22.65,21,22.35,71000
CBNK,20160706,18.2,18.29,18.2,18.29,1200
CBRL,20160706,169,170.61,166.4,167.25,656100
CBSH,20160706,46.15,46.62,45.74,46.56,465800
CCBG,20160706,13.63,13.71,13.54,13.6,8600
CCD,20160706,18.16,18.51,18.16,18.51,63400
CCLP,20160706,7.44,7.85,7.4,7.7,48600
CCMP,20160706,41.61,43.49,41.12,42.72,132700
CCNE,20160706,17.33,17.88,17.33,17.76,22400
CCOI,20160706,39.43,40.23,39.16,40.22,365900
CCRN,20160706,14.04,14.48,13.91,14.4,181700
CCXI,20160706,4.62,4.9,4.57,4.74,244000
CDC,20160706,38.25,38.58,38.07,38.58,12000
CDK,20160706,54.8,54.93,54.34,54.47,1136000
CDL,20160706,37.32,37.55,37.3,37.55,2100
CDNA,20160706,4.68,4.95,4.46,4.64,5800
CDNS,20160706,24.34,24.51,24.19,24.44,2634100
CDTX,20160706,10.45,11.51,10.45,11.11,39300
CDW,20160706,39.59,40,39.17,39.99,1147400
CDXC,20160706,3.94,4.06,3.93,3.99,168100
CDXS,20160706,4.11,4.15,4,4.02,106400
CDZI,20160706,5.82,6.01,5.82,5.9,12000
CECE,20160706,8.55,8.67,8.5,8.62,85100
CEMI,20160706,8.31,8.4,8.1,8.4,13400
CENT,20160706,23.12,23.63,22.66,23.49,212900
CENTA,20160706,21.67,22.31,21.39,22.14,232500
CENX,20160706,6.42,6.85,6.42,6.54,1928500
CERE,20160706,0.39,0.4,0.39,0.39,225800
CERN,20160706,58.11,58.89,57.59,58.79,1862400
CERS,20160706,6.26,6.47,6.26,6.4,924200
CETX,20160706,28.8,31.6,28.48,31.44,295800
CEVA,20160706,26.03,26.4,25.48,26.13,73600
CFA,20160706,36.71,37.15,36.71,37.14,5800
CFBK,20160706,7.48,7.48,7.37,7.37,700
CFFI,20160706,44.75,44.87,44.37,44.87,12900
CFFN,20160706,13.74,13.86,13.52,13.84,652600
CFMS,20160706,6.96,7.23,6.89,6.98,292000
CFO,20160706,37.06,37.14,36.74,37.11,11000
CFRX,20160706,29.2,29.4,27.1,27.5,28000
CG,20160706,15.68,15.78,15.3,15.63,211700
CGEN,20160706,6.45,6.73,6.45,6.72,70900
CGNT,20160706,1.06,1.1,1.03,1.06,140800
CGNX,20160706,21.13,21.335,20.965,21.165,248200
CGO,20160706,10.82,10.97,10.75,10.97,15900
CHCI,20160706,1.72,1.78,1.72,1.73,7500
CHCO,20160706,44.37,45.07,44.33,44.84,45900
CHDN,20160706,40.8233,41.2667,40.5833,41.18,83300
CHEF,20160706,15.39,15.89,15.21,15.72,71600
CHEK,20160706,16.8,17.64,16.32,16.32,17300
CHI,20160706,9.98,10.15,9.95,10.15,460500
CHKP,20160706,79.26,81.91,79.11,81.63,2788300
CHMG,20160706,29.23,29.5,28.64,29.26,5100
CHNR,20160706,1.23,1.31,1.23,1.31,1700
CHRS,20160706,16.58,17.13,16.33,16.51,338100
CHRW,20160706,75.03,75.69,74.38,74.8,965200
CHSCL,20160706,28.76,28.87,28.67,28.83,39700
CHSCM,20160706,28.29,28.69,28.25,28.54,29100
CHSCN,20160706,29.07,29.79,28.98,29.4,24500
CHSCO,20160706,29.02,29.39,29.02,29.18,70300
CHSCP,20160706,32.9,32.99,32.79,32.82,13200
CHTR,20160706,231,232.99,229.01,232.78,1312900
CHUY,20160706,34.29,34.5,33.56,33.69,150500
CHW,20160706,6.97,7.04,6.95,7.03,325300
CHY,20160706,10.74,10.81,10.69,10.77,308500
CIBR,20160706,16.92,17.13,16.88,17.12,11200
CID,20160706,30.17,30.17,30.17,30.17,0
CIDM,20160706,1.21,1.35,1.03,1.05,220500
CIGI,20160706,33.51,34.45,32.93,34.3,69900
CIL,20160706,31.73,31.73,31.73,31.73,0
CINF,20160706,74.31,75.23,74.18,75.02,622200
